id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
1254058,2,6,1,V Kohli,GJ Maxwell,KH Pandya,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,6,2,V Kohli,GJ Maxwell,KH Pandya,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,6,3,V Kohli,GJ Maxwell,KH Pandya,2,0,2,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,6,4,V Kohli,GJ Maxwell,KH Pandya,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,6,5,V Kohli,GJ Maxwell,KH Pandya,1,0,1,0,0,Not Applicable,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,6,6,GJ Maxwell,V Kohli,KH Pandya,1,0,1,0,0,NA,NA,,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,7,1,GJ Maxwell,V Kohli,RD Chahar,4,0,4,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,7,2,GJ Maxwell,V Kohli,RD Chahar,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,7,3,V Kohli,GJ Maxwell,RD Chahar,3,0,3,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,7,4,GJ Maxwell,V Kohli,RD Chahar,0,0,0,0,0,,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,7,5,GJ Maxwell,V Kohli,RD Chahar,4,0,4,0,0,NA,Not Applicable,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,7,6,GJ Maxwell,V Kohli,RD Chahar,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,8,1,GJ Maxwell,V Kohli,KH Pandya,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,8,2,GJ Maxwell,V Kohli,KH Pandya,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,8,3,GJ Maxwell,V Kohli,KH Pandya,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,8,4,GJ Maxwell,V Kohli,KH Pandya,1,0,1,0,0,Not Applicable,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,8,5,V Kohli,GJ Maxwell,KH Pandya,1,0,1,0,7,NA,,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,8,6,GJ Maxwell,V Kohli,KH Pandya,4,0,4,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,MI
1254058,2,9,1,V Kohli,GJ Maxwell,M Jansen,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,MI
1254058,2,9,2,V Kohli,GJ Maxwell,M Jansen,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,9,3,GJ Maxwell,V Kohli,M Jansen,1,0,1,0,0,NA,NA,Not Applicable,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,9,4,V Kohli,GJ Maxwell,M Jansen,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,9,5,GJ Maxwell,V Kohli,M Jansen,0,1,1,0,0,NA,NA,NA,wides,Royal Challengers Bangalore,Mumbai Indians
1254058,2,9,6,GJ Maxwell,V Kohli,M Jansen,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,9,7,GJ Maxwell,V Kohli,M Jansen,0,1,1,0,0,NA,NA,NA,wides,Royal Challengers Bangalore,Mumbai Indians
1254058,2,9,8,GJ Maxwell,V Kohli,M Jansen,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,10,1,GJ Maxwell,V Kohli,KH Pandya,6,0,6,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,10,2,GJ Maxwell,V Kohli,KH Pandya,1,0,1,0,0,,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,10,3,V Kohli,GJ Maxwell,KH Pandya,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,10,4,V Kohli,GJ Maxwell,KH Pandya,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,10,5,V Kohli,GJ Maxwell,KH Pandya,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,10,6,GJ Maxwell,V Kohli,KH Pandya,1,0,1,0,0,NA,,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,11,1,GJ Maxwell,V Kohli,RD Chahar,6,0,6,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,11,2,GJ Maxwell,V Kohli,RD Chahar,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,11,3,V Kohli,GJ Maxwell,RD Chahar,2,0,2,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,11,4,V Kohli,GJ Maxwell,RD Chahar,0,0,0,0,0,,NA,,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,11,5,V Kohli,GJ Maxwell,RD Chahar,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,11,6,GJ Maxwell,V Kohli,RD Chahar,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,12,1,GJ Maxwell,V Kohli,JJ Bumrah,2,0,2,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,12,2,GJ Maxwell,V Kohli,JJ Bumrah,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,12,3,V Kohli,GJ Maxwell,JJ Bumrah,0,0,0,0,1,lbw,V Kohli,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,12,4,AB de Villiers,GJ Maxwell,JJ Bumrah,0,0,0,0,0,NA,NA,,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,12,5,AB de Villiers,GJ Maxwell,JJ Bumrah,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,12,6,GJ Maxwell,AB de Villiers,JJ Bumrah,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,13,1,AB de Villiers,GJ Maxwell,RD Chahar,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,13,2,AB de Villiers,GJ Maxwell,RD Chahar,1,0,1,0,0,,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,13,3,GJ Maxwell,AB de Villiers,RD Chahar,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,13,4,AB de Villiers,GJ Maxwell,RD Chahar,1,0,1,0,0,NA,NA,,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,13,5,GJ Maxwell,AB de Villiers,RD Chahar,0,0,0,0,0,,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,13,6,GJ Maxwell,AB de Villiers,RD Chahar,1,0,1,0,0,NA,NA,NA,NA,RCB,Mumbai Indians
1254058,2,14,1,GJ Maxwell,AB de Villiers,M Jansen,0,0,0,0,1,caught,GJ Maxwell,CA Lynn,NA,Royal Challengers Bangalore,Mumbai Indians
